o_zone_id,d_zone_id,links
2,622,"['201070AB', '201105BA', '201268AB', '201270BA', '201271AB', '201273AB', '201284BA', '201285AB', '201286AB', '201287BA', '201288AB', '201294AB', '201317AB', '201320BA', '201334AB', '201335BA', '201336BA', '201339BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,624,"['201070AB', '201105BA', '201333BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,625,"['201070AB', '201500BA', '201501AB', '201519BA', '201541AB', '201542BA', '201549AB', '201558BA', '201574AB', '201823BA']"
2,626,"['201070AB', '201502BA', '201526BA', '201527BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,627,"['201070AB', '201490BA', '201549AB', '201558BA', '201574AB', '201823BA']"
2,628,"['201070AB', '201105BA', '201271AB', '201278BA', '201294AB', '201317AB', '201320BA', '201335BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,633,"['201070AB', '201093BA', '201502BA', '201508AB', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
2,640,"['201070AB', '201544BA', '201549AB', '201559AB', '201574AB', '201823BA']"
2,645,"['201047BA', '201823BA', '201824AB', '201828AB']"
2,646,"['201066BA', '201080AB', '201577AB', '201636AB', '201638BA', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA']"
2,647,"['201048BA', '201066BA', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA']"
2,649,"['201070AB', '201494BA', '201497BA', '201530BA', '201531AB', '201534BA', '201573BA', '201581BA', '201823BA']"
2,650,"['201070AB', '201494BA', '201497BA', '201499BA', '201538BA', '201539BA', '201573BA', '201581BA', '201823BA']"
2,651,"['201070AB', '201493BA', '201494BA', '201547BA', '201573BA', '201823BA']"
2,652,"['201069AB', '201576BA', '201810BA', '201823BA', '201827AB', '201847BA']"
2,653,"['201051BA', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA']"
2,654,"['201052BA', '201810BA', '201823BA', '201827AB']"
2,2061,"['201070AB', '201500BA', '201529BA', '201541AB', '201542BA', '201549AB', '201558BA', '201574AB', '201823BA']"
2,2125,"['200821AB', '201005BA', '201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201595BA', '201606BA', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA', 'detour-linkb']"
2,2136,"['201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201597BA', '201604BA', '201605AB', '201610AB', '201613BA', '201615BA', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA']"
2,2137,"['201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201592BA', '201597BA', '201604BA', '201605AB', '201610AB', '201614AB', '201615BA', '201635AB', '201639BA', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA']"
2,2142,"['201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201603BA', '201606BA', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA', 'detour-linkb']"
2,2147,"['201065BA', '201070AB', '201078AB', '201090BA', '201102AB', '201342BA', '201345AB', '201346BA', '201351BA', '201352AB', '201353BA', '201354BA', '201494BA', '201497BA', '201500BA', '201530BA', '201531AB', '201533BA', '201536AB', '201537BA', '201541AB', '201549AB', '201558BA', '201573BA', '201574AB', '201581BA', '201589AB', '201592BA', '201597BA', '201604BA', '201605AB', '201610AB', '201614AB', '201615BA', '201633BA', '201635AB', '201644AB', '201645AB', '201646AB', '201810BA', '201823BA', '201827AB', '201844AB', '201847BA', '201849BA']"
2,2197,"['201070AB', '201495BA', '201502BA', '201507BA', '201548AB', '201549AB', '201559AB', '201560BA', '201574AB', '201823BA']"
3,1,"['201069BA', '201070BA', '201089AB', '201090BA', '201498BA', '201550BA', '201562BA', '201564BA', '201568BA', '201573BA', '201574BA', '201645AB', '201810BA', '201827AB', '201844AB', '201847BA', '201849BA']"
3,2,"['201070BA', '201550BA', '201562BA', '201564BA', '201568BA', '201574BA', '201823AB']"
3,4,"['201105BA', '201294AB', '201298AB', '201317AB', '201318AB', '201327AB', '201335BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,5,"['200831AB', '200947BA', '201105BA', '201271AB', '201280AB', '201286AB', '201294AB', '201317AB', '201320BA', '201335BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,8,"['201069BA', '201070BA', '201498BA', '201550BA', '201562BA', '201564BA', '201568BA', '201573BA', '201574BA', '201810BA', '201827AB', '201844AB', '201847BA', '201848AB', '201849BA']"
3,9,"['201562BA', '201563AB', '201564BA', '201568AB']"
3,10,"['201548AB', '201549AB', '201550BA', '201551BA', '201557AB', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,12,"['201502BA', '201508AB', '201509BA', '201514AB', '201517BA', '201520BA', '201526BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,16,"['200820AB', '200998AB', '201000AB', '201001AB', '201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201595BA', '201606BA', 'detour-linkb']"
3,17,"['201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201597BA', '201604BA', '201605AB', '201611BA']"
